recordId,country,territory_code,ingestion_timestamp,mainland,population_count,batch_id,is_valid_record,mark,regular_count,date,amount_10_day,test_units,origin
acc6a9cf-d7ad-4c5d-a802-0c4f64b5ec73,Japan,JPN,02-01-2020 23.17,Asia,91469134,20200222_JPN_693,TRUE,not accepted cases,260,16-01-2020,,PCR,Digital surveillance
1f8056c5-9086-466a-a691-eddd781c3c50,France,FRA,13-01-2020 22.41,Europe,68206999,20200422_FRA_460,FALSE,accepted cases,1307,23-12-2020,2778.71,PCR,HealthMap
d16d10cb-603f-4485-bcbe-af41b4e95e9b,Japan,JPN,06-01-2020 12.06,Asia,170426318,20201105_JPN_271,TRUE,not accepted cases,4392,04-03-2020,3785.34,Rapid,HealthMap
f20f0a44-7d53-40a5-80f9-f88a6be30e2d,Spain,ESP,26-02-2020 11.36,Europe,56319488,20200124_ESP_678,TRUE,not accepted cases,653,29-04-2020,3801.26,Antigen,HealthMap
c656f1fb-bd06-4c0a-bce5-646200880940,United States,USA,24-01-2020 11.13,America,253871692,20201215_USA_664,TRUE,accepted cases,4375,05-05-2020,,Antigen,HealthMap
3ab4928e-1662-4ebf-b254-e6c262a46fa5,France,FRA,15-01-2020 21.20,Europe,82787280,20200129_FRA_235,TRUE,not accepted cases,3286,17-05-2020,,Rapid,HealthMap
5892e0d2-da6c-4eb4-b7fb-18a84481c84a,Canada,CAN,11-02-2020 15.25,America,53388072,20200822_CAN_147,FALSE,accepted cases,2020,14-10-2020,7470.14,Antigen,HealthMap
20b1013f-4d5f-4cc0-a1b5-f93c058f08ca,Kenya,KEN,15-01-2020 4.32,Africa,31773964,20200125_KEN_882,TRUE,accepted cases,1310,14-12-2020,635.28,Antigen,HealthMap
d04cf4c0-5d3b-48a7-81f3-050bdfefe93b,Germany,DEU,17-01-2020 17.55,Europe,98888796,20200228_DEU_699,FALSE,not accepted cases,913,30-05-2020,4537.24,Rapid,HealthMap
48804248-ac6c-4308-b83a-26149b25bf24,Germany,DEU,18-02-2020 5.32,Europe,50807489,20201116_DEU_306,TRUE,accepted cases,3063,23-03-2020,7786.26,Rapid,Digital surveillance
2533dddd-190b-443b-81af-7127b29b138a,Spain,ESP,21-01-2020 15.01,Europe,66817188,20200606_ESP_246,TRUE,accepted cases,4647,10-02-2020,,Antigen,Digital surveillance
1ca7377b-f2f4-4024-85e5-533a3000edb7,France,FRA,19-02-2020 4.08,Europe,63660105,20201008_FRA_170,FALSE,not accepted cases,1735,03-10-2020,6898.68,Rapid,HealthMap
9513dfa0-3876-44b6-857a-f39175aa0d2f,South Africa,ZAF,12-02-2020 20.23,Africa,83009277,20200819_ZAF_124,TRUE,accepted cases,524,22-06-2020,,Rapid,Digital surveillance
557271d4-cdf6-4117-a778-edfa0f6b1597,Italy,ITA,15-01-2020 0.04,Europe,68388550,20200427_ITA_070,TRUE,not accepted cases,580,20-09-2020,,Rapid,HealthMap
5f920059-7e03-4c6f-b547-3805c44b5efe,Canada,CAN,04-02-2020 4.46,America,52174114,20201022_CAN_485,TRUE,not accepted cases,3334,07-04-2020,,Rapid,HealthMap
cc1fbed2-fe1e-44c7-9de4-6b7cf6f6431d,Kenya,KEN,28-01-2020 13.29,Africa,66089001,20201210_KEN_670,TRUE,accepted cases,3298,22-06-2020,1092.69,PCR,Digital surveillance
75c67a2e-836a-4898-bb88-f9c058c381f7,France,FRA,29-01-2020 4.27,Europe,50818375,20200507_FRA_896,TRUE,not accepted cases,4508,20-02-2020,,Rapid,Digital surveillance
be85cc0f-6539-4d81-95ab-98a134be9377,China,CHN,29-02-2020 7.10,Asia,1418656706,20200419_CHN_886,FALSE,accepted cases,1348,13-07-2020,,Antigen,HealthMap
37aa6ed4-5830-4490-860e-454c47089359,Ethiopia,ETH,19-01-2020 13.44,Africa,171919157,20201011_ETH_678,FALSE,accepted cases,1555,31-05-2020,,PCR,Digital surveillance
398f0d6d-9b38-4832-b0ff-a131f4b49174,Nigeria,NGA,04-01-2020 1.37,Africa,206727165,20200928_NGA_162,TRUE,accepted cases,1522,05-02-2020,6752.13,PCR,HealthMap
5867e1de-85cb-4f47-823f-422aa8f04d71,Japan,JPN,26-02-2020 18.15,Asia,138430909,20201113_JPN_084,FALSE,not accepted cases,2136,14-04-2020,3141.84,Antigen,HealthMap
ec31f3e3-d95d-4c12-9957-d0cd055f91c9,Indonesia,IDN,12-02-2020 20.19,Asia,223243737,20200207_IDN_010,FALSE,accepted cases,600,02-10-2020,,Antigen,Digital surveillance
272b9fbc-7818-4766-b10c-24c2995702e3,Kenya,KEN,26-02-2020 2.56,Africa,46755598,20200321_KEN_449,FALSE,accepted cases,4543,02-06-2020,1035.87,PCR,HealthMap
053ffcf1-f70f-4d31-88d8-76c03b4c45cb,Japan,JPN,26-02-2020 3.47,Asia,82898731,20200524_JPN_620,TRUE,not accepted cases,1667,17-12-2020,2639.84,Antigen,HealthMap
47b16770-5852-48ef-9c77-05f691ded690,India,IND,06-01-2020 20.27,Asia,1071822114,20200102_IND_342,TRUE,not accepted cases,1323,14-08-2020,4276.87,PCR,Digital surveillance
1bf5cea1-45f1-4a0f-a958-ff4ce5d8d157,China,CHN,26-02-2020 22.57,Asia,1504942963,20200708_CHN_597,TRUE,not accepted cases,1044,22-01-2020,,PCR,HealthMap
e79b47bf-dfe8-41ab-be4a-611ba9ee2051,Canada,CAN,13-02-2020 7.42,America,32219670,20201013_CAN_906,FALSE,accepted cases,1939,24-03-2020,8107.72,Antigen,Digital surveillance
870b9f33-3b44-4fd2-8921-74e64f499692,United States,USA,17-02-2020 10.50,America,301779475,20201208_USA_885,TRUE,not accepted cases,1304,25-12-2020,,PCR,HealthMap
1f8e5ef8-fd25-4dbe-8a65-3c52a89f948a,Brazil,BRA,13-01-2020 14.22,America,280692443,20200426_BRA_229,TRUE,accepted cases,3264,17-06-2020,,PCR,HealthMap
8f63c6c6-b472-432e-8e4a-d008682a5701,Kenya,KEN,11-02-2020 16.25,Africa,79643338,20201001_KEN_340,TRUE,accepted cases,2139,01-04-2020,9835.51,PCR,Digital surveillance
ac43d0b8-e934-4d08-8c72-89b17bfde173,Spain,ESP,28-01-2020 11.46,Europe,38043302,20201106_ESP_524,TRUE,not accepted cases,4723,07-04-2020,,Rapid,HealthMap
66139817-89b5-493f-8291-49bc00292c13,Afghanistan,AFG,03-02-2020 17.43,Asia,56067053,20201209_AFG_202,FALSE,not accepted cases,573,06-12-2020,6231.55,Rapid,Digital surveillance
cf0ae277-5989-4e72-ae33-fefe2ab66384,Argentina,ARG,02-02-2020 9.42,America,37339975,20201222_ARG_303,TRUE,accepted cases,3444,06-12-2020,6773.18,PCR,HealthMap
28d6f51b-185b-450c-9ad8-3379d5b89ebe,South Africa,ZAF,05-02-2020 0.19,Africa,42120004,20201023_ZAF_622,FALSE,not accepted cases,3619,14-08-2020,5111.74,Rapid,Digital surveillance
df8cb4f7-308a-41eb-9846-084b59fcb1bb,China,CHN,19-01-2020 16.42,Asia,1610978688,20200217_CHN_839,TRUE,not accepted cases,1840,11-04-2020,,PCR,Digital surveillance
830ff301-3df8-4c28-b4d5-20763ea00702,United Kingdom,GBR,09-02-2020 2.29,Europe,94099305,20201021_GBR_200,FALSE,not accepted cases,3273,04-05-2020,,Rapid,Digital surveillance
4905880b-a1c2-4ba4-bbd8-ead7d3644656,Japan,JPN,19-02-2020 13.14,Asia,164939199,20201222_JPN_531,FALSE,accepted cases,4566,07-05-2020,1213.59,PCR,HealthMap
96ce8891-2893-46cd-b918-a45359b4c73f,Germany,DEU,05-02-2020 19.20,Europe,116579149,20201109_DEU_835,FALSE,not accepted cases,1303,31-08-2020,7517.77,Rapid,HealthMap
50600ee2-9aed-42a9-ad5b-f7e3ae15ca71,Germany,DEU,01-02-2020 20.15,Europe,78746230,20201231_DEU_293,TRUE,not accepted cases,2751,12-06-2020,805.78,PCR,Digital surveillance
c1522cee-4bf5-4b47-a761-446f42e2a1bc,South Africa,ZAF,14-02-2020 4.45,Africa,33463673,20200727_ZAF_339,FALSE,not accepted cases,510,15-04-2020,3894.77,Rapid,Digital surveillance
129404ce-6396-4f5c-8a6b-87924f298f0c,Italy,ITA,25-01-2020 15.00,Europe,48285579,20200718_ITA_874,FALSE,accepted cases,3999,22-04-2020,,Antigen,Digital surveillance
3d6492c9-55ac-4b1f-8bf0-0b9ecd6e4a2c,South Africa,ZAF,22-01-2020 21.43,Africa,53633836,20200325_ZAF_861,FALSE,accepted cases,4375,14-01-2020,5918.93,Rapid,Digital surveillance
d169ef9e-da0d-4edf-a0e4-b355e0db031a,China,CHN,11-02-2020 13.08,Asia,1384195435,20200126_CHN_267,FALSE,not accepted cases,1733,20-08-2020,,Antigen,HealthMap
9691996b-c471-469f-8d5b-e255309d1b2f,Egypt,EGY,17-01-2020 2.30,Africa,127818153,20200127_EGY_975,FALSE,accepted cases,562,29-11-2020,,PCR,Digital surveillance
4ebb4b29-755f-470a-831c-5d1599358536,Canada,CAN,23-02-2020 0.39,America,27874276,20200830_CAN_686,TRUE,accepted cases,3809,24-12-2020,,Antigen,Digital surveillance
20c42665-02bc-450d-b1e5-3fa7984a9ba1,Spain,ESP,08-02-2020 23.45,Europe,59742875,20200324_ESP_988,FALSE,accepted cases,4740,14-01-2020,5757.97,Antigen,HealthMap
66476dce-61e2-4c27-8d0f-2652e8cfbdf4,Canada,CAN,05-01-2020 18.44,America,42544556,20200222_CAN_714,FALSE,accepted cases,4636,22-01-2020,,Antigen,HealthMap
2d4e8f3d-7ae2-4980-b062-1c3b04f8a55f,China,CHN,02-02-2020 20.21,Asia,1942476287,20200907_CHN_109,FALSE,not accepted cases,3766,28-12-2020,,PCR,HealthMap
775adf7d-15b6-496e-9a32-ec67f4624885,Spain,ESP,21-02-2020 17.49,Europe,45112458,20201030_ESP_275,FALSE,accepted cases,709,22-05-2020,2438.63,Antigen,HealthMap
b0c04443-0f55-4917-ad6f-f4df3bae69d6,Nigeria,NGA,02-01-2020 15.54,Africa,140554187,20200418_NGA_364,FALSE,not accepted cases,2290,01-11-2020,2762.69,PCR,Digital surveillance
e84d25f2-628b-4b2a-bf40-305cb83ca3fa,China,CHN,16-01-2020 23.26,Asia,1518740209,20200503_CHN_708,FALSE,not accepted cases,3671,09-01-2020,,PCR,HealthMap
90616758-86ed-471c-b7e3-5e7c69ac7774,Brazil,BRA,20-01-2020 21.37,America,206875682,20200928_BRA_353,FALSE,not accepted cases,2882,25-12-2020,3066.23,PCR,Digital surveillance
9995228b-b58e-456d-9bec-0dca0d1d71a8,Canada,CAN,21-01-2020 3.47,America,54759244,20201219_CAN_190,TRUE,accepted cases,3966,21-05-2020,9766.07,Rapid,HealthMap
a959b866-38b0-44f9-9b15-49f3783297e3,Japan,JPN,23-02-2020 6.18,Asia,108881190,20200603_JPN_015,TRUE,not accepted cases,372,28-01-2020,6974.17,PCR,HealthMap
3a3ef3c9-13b0-4d87-8d48-c3707a9065c5,Japan,JPN,25-02-2020 0.36,Asia,122605894,20200813_JPN_349,TRUE,accepted cases,2068,01-09-2020,,PCR,HealthMap
5462176a-c9da-4993-b641-2dcfc5ed46dd,United Kingdom,GBR,05-01-2020 18.40,Europe,37582311,20200317_GBR_831,FALSE,accepted cases,2033,01-03-2020,4161.74,Rapid,Digital surveillance
d74a1ade-a3a8-4ced-b860-5bc496cd1838,Germany,DEU,25-01-2020 14.58,Europe,66805388,20201028_DEU_440,FALSE,accepted cases,4994,20-02-2020,2077.88,PCR,HealthMap
d14d9798-547c-427e-948c-13d7aa7031d7,China,CHN,11-01-2020 7.11,Asia,827704538,20200102_CHN_419,FALSE,not accepted cases,2385,17-01-2020,,Rapid,HealthMap
9a295a08-7c2b-4300-930c-2555ba88d2a1,Ethiopia,ETH,05-01-2020 21.14,Africa,87895942,20201116_ETH_604,TRUE,not accepted cases,940,05-10-2020,,PCR,HealthMap
f27cb2c7-911f-486f-a552-89f6a6e50ba0,Indonesia,IDN,05-01-2020 1.10,Asia,220900902,20201018_IDN_944,FALSE,not accepted cases,1018,27-08-2020,6997.34,Antigen,HealthMap
b553bc8f-bb22-4912-a3f0-de3d29af073f,Ethiopia,ETH,06-01-2020 19.02,Africa,107149359,20200614_ETH_619,FALSE,accepted cases,748,27-04-2020,8359.59,Rapid,Digital surveillance
5ff76195-9c60-4393-8eb8-040ff896790f,Mexico,MEX,06-02-2020 1.48,America,87054199,20200922_MEX_668,FALSE,not accepted cases,1486,26-10-2020,8142.45,PCR,HealthMap
08d0000f-f039-4b3e-8230-997e6ebf7ded,Kenya,KEN,27-01-2020 10.20,Africa,32510119,20200323_KEN_338,FALSE,not accepted cases,2361,05-12-2020,8135.66,Rapid,Digital surveillance
917c32ec-b195-4e58-b0a6-8cdd47fb34b3,Ethiopia,ETH,06-01-2020 10.16,Africa,70808557,20200725_ETH_886,TRUE,not accepted cases,3385,28-01-2020,,Antigen,HealthMap
16716d6c-ebf5-4b45-b8d5-4362ce90ec79,Ethiopia,ETH,18-02-2020 1.13,Africa,120622054,20200527_ETH_449,FALSE,accepted cases,236,18-11-2020,2392.97,PCR,HealthMap
b04a4388-1e7f-4e4a-b0f6-dffad867e6f6,France,FRA,01-01-2020 17.26,Europe,47303756,20200228_FRA_473,TRUE,accepted cases,4082,29-05-2020,2734.25,Antigen,HealthMap
e81340af-e2af-489e-ac52-b6d1bb3877c0,Brazil,BRA,30-01-2020 17.09,America,146795737,20201102_BRA_521,TRUE,accepted cases,2263,31-07-2020,,Rapid,HealthMap
74daca45-d444-446f-99e5-b3eedbba3ace,Afghanistan,AFG,19-01-2020 23.19,Asia,42312682,20201203_AFG_502,TRUE,not accepted cases,4412,04-09-2020,,Rapid,HealthMap
c4364fae-a8aa-476b-a374-17309cd6266a,Ethiopia,ETH,29-02-2020 10.55,Africa,170235164,20200502_ETH_586,FALSE,accepted cases,3365,23-01-2020,,Antigen,HealthMap
c81d3b1c-b001-4348-a925-1d46dde80635,South Africa,ZAF,12-02-2020 20.09,Africa,86876818,20200305_ZAF_515,FALSE,accepted cases,3606,21-02-2020,4569.28,Rapid,Digital surveillance
5be736d7-9506-49a7-8b99-5858e6b1801b,Egypt,EGY,25-02-2020 20.09,Africa,99212242,20200515_EGY_347,FALSE,accepted cases,2691,11-12-2020,3800.09,Antigen,HealthMap
bb147b57-ba13-4848-b314-e6a9dcb8bbc2,France,FRA,03-01-2020 19.04,Europe,73834851,20200527_FRA_233,TRUE,not accepted cases,806,20-11-2020,1005.07,PCR,HealthMap
c059da3a-3be4-4b70-ace5-474dbef0d75c,Afghanistan,AFG,03-01-2020 10.50,Asia,30884491,20200710_AFG_442,TRUE,accepted cases,4351,29-07-2020,7925.19,PCR,Digital surveillance
b55df174-9314-4745-96ad-b00126a076e0,China,CHN,09-02-2020 12.39,Asia,1066293933,20201025_CHN_147,TRUE,not accepted cases,2080,23-08-2020,,PCR,HealthMap
2b76bcfa-9bc4-4e62-ae09-2dded57ba663,Argentina,ARG,13-02-2020 17.10,America,42562206,20200625_ARG_602,FALSE,not accepted cases,2048,21-08-2020,1992.17,Antigen,HealthMap
